FunctionalArea,StrategicPriorities,Programs,UseCase,CurrentSituation,GoalsandObjectives ,TechnologyDeployed,UseCaseSummary
Analytics & Information Management,Deriving Value from Data,Decision Automation ,Conditional decision automation,"Today, most decisions are automated using rules, metrics and data-at-rest.","To receive, process and evaluate new data continuously as it arrives to respond rapidly to problems and opportunities and to use optimization to make automated decisions about next actions.","Messaging,other real-time data transport, business rules capable of continuous processing, database deployed as a state machine.","Rapid identification and response for well-known and slow-to-change conditions across a variety of processes and industries, including IoT and health monitoring. Used in runtime systems for compliance."
Analytics & Information Management,Deriving Value from Data,Decision Automation ,Algorithmic decision automation,"Today, most decisions are made using a known models of business conditions.",Use of AI-based algorithms and real-time data to automatically detect anomalies and opportunities; predict whether further action is needed and to apply optimization to automate or augment decision making.,"AI technologies to convert unstructured to structured data, machine learning, messaging or other technique to push processing,decision-making through pipeline, optimization to decide or make recommendations.","When there is a business benefit in rapidly predicting upcoming problems or immediate opportunities where conditions change continuously and data is highly variable, including IoT use cases, real-time promotions, quality controls, inventory outage predictions."
Analytics & Information Management,Deriving Value from Data,Data Exploration and Investigation ,Key driver identification,"Most BI/analytics systems present users with KPIs or metrics (e.g. exceptions, breached thresholds), but don't provide support for identifying drivers with causal effects on outputs.",To allow analysts and business user to input desired output variables and automatically identify drivers with causal relationship to the output.,"New generation of BI,analysis software that incorporate machine learning.  ",To provide decision support capabilities that identify What Happened but also provides information on Why it Happened and what can be done about it.
Analytics & Information Management,Deriving Value from Data,Data Exploration and Investigation ,Guided root cause analysis,"Today, once presented with KPIs via dashboards, users need to use manual data manipulation and experience to identify root causes for KPI deviation from norm.","To allow analysts' workflow to be guided by system generated recommendations based on historical data, expert identification, and crowd usage patterns.","Machine learning, n-dimensional analysis, data visualization, advanced,predictive analytics, optimization, rules engines, search conversational AI, NLP, NLG.",To provide decision support capabilities via automation to understand Why something happened without requiring users to spend endless hours on manual exploration of data.
Analytics & Information Management,Deriving Value from Data,Enterprise Performance Management ,Continuous planning and forecasting,"Periodic planning that doesn't use latest data and relies on outdated forecasting models. Heavy reliance on stand-alone spreadsheets prone to human errors, and lack governance. Minimal use of predictive analytics.",To increase confidence in planning and forecasting; enable planning agility in the face of uncertainty; rapidly respond to market changes.,"Budgeting, planning, forecasting, scenario modeling, predictive analytics software.",To provide capabilities for augmenting managers' contextual experience with managing the business with ongoing algorithmic forecasting based on real-time internal and external data. 
Analytics & Information Management,Deriving Value from Data,Enterprise Performance Management ,Situational awareness,"Limited visibly into current state of the enterprise and its external environment. Inability to answer the question: What Happened? Due to untimely, aggregated, and incomplete information.",To provide instant access to real-time and contextual information about what is going in with the enterprise at any given point in time.,"Streaming data integration,analytics, monitoring,alerting, machine learning, data visualization, data intelligence, data integration tools.",To provide capabilities for instant access or notification of the current state of the enterprise based on real-time internal and external data contextualized by human expertise. 
Analytics & Information Management,Deriving Value from Data,Data Science and AI Services,Prediction and prescription Services,Much of the focus of data scientists and/or statisticians in enterprise settings has been on one-off projects and reliance of discrete analytic tools without much governance.,"To provide the enterprise with scalable, extensible, yet governed capabilities to support the full analytics lifecycle on an ongoing basis.","Data science workbench to prepare data, built,test models, managed,govern them over time in a collaborative environment.",A governed yet flexible environment for data scientists to collaborate among themselves and with their business and IT colleagues that follows full analytic lifecycle.
Analytics & Information Management,Deriving Value from Data,Data Science and AI Services,Communication and perception services,Human computer interaction has been dominated by keyboard/mouse/screen technology. Focus of advanced analytics has been on structure alpha numeric data.,"To incorporate voice, and interaction based on other senses (touch, gestures, etc.) and to use deep learned to derive value from a rich media and text sources.","Deep learning, transfer learning, NLP, image, voice, video analysis, Q&A systems, speech recognition, conversational AI platforms,corresponding 3rd party services.",To leverage the full range of unstructured and rich media data and combine it with structured data. To utilize a range of human-computer interaction capabilities across a range of in-office and in-field situations.
Analytics & Information Management,Deriving Value from Data,Data Orchestration,Data intelligence,Proliferation of data siloes across a growing number of on-premises and on-the-cloud databases and applications has led to lack of visibility and awareness of all the data assets within an enterprise.,"To enable capture, analysis, and management of all metadata and data profiles, providing professionals with the knowledge required to monetize and protect data assets from becoming liabilities.","Data cataloguing, lineage, profiling, stewardship tools, meta management, master data definition,control tools.","To discover and analyze where data comes from, how data flows in support of business operations and strategic decisions, and how data is transformed and ultimately consumed."
Analytics & Information Management,Deriving Value from Data,Data Orchestration,Data unification,Much of the focus in the past has been on data integration via physical movement of data into a central data warehouse.,"To enable a unified and consistent view of the data across on-premises and on-the-cloud data by utilizing a range of data integration, federation, and virtualization techniques.","Bulk data movement, composite data frameworks, data access infrastructure, data quality, dynamic data movement.",To have on-demand access to unified data about any entity without the need to always physically move the data into a central data store.
