VERTICALS,Person,
healthcare,Lynne Dunbrack,
life science,Alan Louie,
smart city,Ruthbea Clarke,
banking,Jerry Silva,
insurance,Sabitha Majukumar,
manufacturing: tovc,Kim Knickle,
manufacturing: tovc,Jeff Hojlo,
manufacturing: aovc,John Santagate,
manufacturing: bovc,Simon Ellis,
manufacturing: eovc,Heather Ashton,
manufacturing: eovc,Jeff Hojlo,
utility,Kevin Prouty,
oil & gas,Kevin Prouty,
mining,Emilie Ditton,
retail,Leslie Hand,
communications service provider,Hugh Ujhazy,
government,Adelaide O'Brien,
