Industry,Mission,MissionDescription,Strategic Priorities,Programs,Use Case,Current Situation,Goals and Objectives ,Technology Deployed,Use Case Summary
Healthcare,Value-Based Health,no value,Convenient Access to Care,Clinical Communication and Collaboration,Patient-clinician communication,"Healthcare is undergoing a monumental shift to value-based and consumer-driven models that rely on effective digital transformation, communication, and engagement by providers who are pressed more than ever to deliver results in response to both regulatory mandates and market forces.","Send secure messages to patients (and from patients to providers) using electronic communication modalities, enabling communication beyond the clinical encounter.
Ensure patients enjoy high levels of satisfaction, service fulfillment, and meaningful conversations with providers and are retained.","EHRs and integrations with EHRs
Patient portals, websites, secure patient messaging, mobile apps, patient education and medical information platforms, and enterprise patient portals
Patient relationship management systems, patient experience and feedback platforms, chatbots and intelligent health assistants, and interactive patient care systems","Provider-patient communication delivers higher value propositions to new (and existing) patients by using technologies to deliver timely information to the engagement and addresses different touch points of the ongoing relationship and its dialogue. Value in provider-patient communication is delivered in a proposition that distinguishes itself on quality, access, and patient experience."
Healthcare,Value-Based Health,no value,Convenient Access to Care,Clinical Communication and Collaboration,Clinician-clinician communication,Most telemedicine clinician consultations are done via videoconferencing units affixed to walls or affixed to mobile carts.,"Improve the ability to reach clinicians without having to invest in expensive videoconferencing units.
Improve access of first responders in the field to ER clinicians.
Reduce the costs of providing telemedicine services.","Mobile videoconferencing
Cloud and mobile infrastructure","Providing reliable, easy-to-use clinician-to-clinical communication channels using mobile videoconferencing technology improves the ability of clinicians to collaborate and coordinate patient care, thus improving the care delivery process and reducing costs through the efficient delivery of care."
Healthcare,Value-Based Health,no value,Convenient Access to Care,Clinical Communication and Collaboration,Health information exchange (HIE)/interoperability,Disparate health systems and their components are inherently challenged and increasingly pressed to exchange health information in a timely manner as well as to ensure it is interoperable and conformant with standards that can positively impact patient care.,"Facilitate appropriate access, retrieval, sharing, and interpretation of electronic health information and patient data.
Improve patient safety, reduce costs, improve quality, and increase efficiency by reducing errors, paperwork, and redundant testing.","Cloud, databases, health IT standards, and protocols
EHRs, integrations between EHRs, health information exchanges, and interoperability frameworks","HIEs and interoperability ensure that the value of heath information is fully realized not only through its storage and record-keeping, but also through effectively sharing it across disconnected systems, networks, and facilities to where it is needed and can make an impact on patients and the delivery of care."
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Clinical Outcomes Management,Predictive analytics,Traditional methods of predictive analytics use limited data and often do not include identification of the drivers of risk and consequently do not identify next best action.,"Predictive analytics needs to be applied to operations, clinical, and financial domains and include all available appropriate data. Critical to success is providing insight into action and to learn what is successful within different contexts.","AI-driven advanced analytics for predictive modeling, machine learning, and prebuilt algorithms/models","Today's analytics are limited in the data they use and focus on reporting, not insight. The use of AI-based predictive models can generate more personalized insights with the benefit of learning from past experiences."
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Clinical Outcomes Management,Patient personal assistance,There is currently no automated easily accessible tool to assist patients in navigating the healthcare ecosystem. This has resulted in disengaged individuals with little motivation to improve health.,Patient personal assistance improve engagement of patients in actively managing health and increased care plan compliance.,AI-driven advanced analytics for predictive modeling and machine learning,Patient engagement tools today do not provide actionable advice to patients in real time. The introduction of cognitive technologies will advance patient engagement and improve outcomes.
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Clinical Outcomes Management,Post-acute care management,Managing care post-discharge is fragmented with little coordination or data to identify the most appropriate setting of care or providers. There is no continuity of care.,Collaboration across the continuum of care can improve clinical outcomes and patient/caregiver satisfaction. Establishing a collaborative platform where all clinical and non-clinical caregivers can communicate and collaborate in establishing the best treatment options is needed.,Cloud-based platform for collaboration that provides insight and guidance for optimal care,Fragmented care is both costly and often of poor quality. Holistic coordinated care across the continuum is required to manage costs and improve clinical outcomes.
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Clinical Outcomes Management,Integrated social and health,"Despite increased evidence of the significant impact of social and human services on overall health, the U.S. healthcare system continues to manage health and social needs separately.",Coordination and collaboration among social and health stakeholders improves clinical outcomes.,Integrated workflow and collaborative platforms,A holistic approach to health involves the ability to assess and identify resources.
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Process Optimization,Revenue cycle management,"Traditional billing solutions are increasingly being viewed unfavorably due to their negative impact on profit margins, likelihood for errors, time requirements, and labor intensiveness. The wide range of mandatory and regulatory changes as well as market forces only add to the challenge, especially for small practices, and generate a need for more automated, intelligent, and effective solutions to streamline billing operations.","Bridge clinical and financial data toward reducing the amount of time between providing a service and receiving a payment.
Automate tasks, production of analytics, and generation of insights that positively impact reimbursements.","EHR integrations, charge capture, registration, clinical documentation, and coding modules
Billing rules and claims processing/submission engines, vendor processing and clearinghouse interfaces, electronic remittance and payment posting functionalities, dashboards, reporting, and data analytics
Cloud, vendor messaging, provider and patient messaging, and databases
Cognitive computing and robotic process automation increasingly to ensure correct coding and speed up processes","Revenue cycle management is a cycle of administrative and clinical functions being increasingly automated to present a compelling case for provider organizations to fulfill billing functions and pursue value through impacting cost by reducing reimbursement times, errors, delays, labor, and the improvement of real-time performance efficiencies."
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Process Optimization,Robotic process automation-based claims processing,Error rates for paid medical claims by commercial health insurers have dropped significantly in recent years to approximately 7%. This still costs the U.S. healthcare industry over $40 billion/year.,"Improve speed, cost, and quality of claims submission and adjudication.
Balance economic requirements with legal/regulatory requirements, individual jurisdictions, and medical specialties.","Software rules engines, macros, scripts, and analytics that can be overlaid on manual processes or on inefficient software workflow applications (These often require reengineering of existing processes. Ultimately, cognitive analytics will be automated.)","Paper and electronic forms are submitted by hundreds of thousands of provider organizations to hundreds of commercial and government payers for payment using arcane rules, aging software, and often manual processes. Human touches can be reduced and processes can be improved to speed error-free payment."
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Process Optimization,Readmission avoidance,"The lack of post-discharge planning, follow-up care, home monitoring, and communications results in unnecessary readmissions.",Reduce unnecessary readmissions and keep patients safely at home.,"Risk assessment tools that cover all aspects of a patient's health and environment, remote patient monitoring for post-discharge care plan execution, collaboration and communication tools, and integration of health and community resources",The objectives of value-based health are to improve quality of care and manage costs. Initiatives need to go beyond the four walls of healthcare institutions and address all health-related needs to be successful.
