UseCase,CurrentSituation,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,-,-,-,-,
Patient-clinician communication,Healthcare is undergoing a monumental shift to value-based and consumer-driven models that rely on effective digital transformation- communication- and engagement by providers who are pressed more than ever to deliver results in response to both regulatory mandates and market forces.,EHRs ,integrations with EHRsPatient portals,websites,secure patient messaging,mobile apps,patient education ,medical information platforms,enterprise patient portalsPatient relationship management systems,patient experience ,feedback platforms,chatbots ,intelligent health assistants,interactive patient care systems,-,-,-,-,-,
Clinician-clinician communication,Most telemedicine clinician consultations are done via videoconferencing units affixed to walls or affixed to mobile carts.,Mobile videoconferencing,Cloud ,mobile infrastructure,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Health information exchange (HIE)/interoperability,Disparate health systems and their components are inherently challenged and increasingly pressed to exchange health information in a timely manner as well as to ensure it is interoperable and conformant with standards that can positively impact patient care.,Cloud,databases,health IT standards,protocolsEHRs,integrations between EHRs,health information exchanges,interoperability frameworks,-,-,-,-,-,-,-,-,-,-,-,
Predictive analytics,Traditional methods of predictive analytics use limited data and often do not include identification of the drivers of risk and consequently do not identify next best action.,AI-driven advanced analytics for predictive modeling,machine learning,prebuilt algorithms/models,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Patient personal assistance,There is currently no automated easily accessible tool to assist patients in navigating the healthcare ecosystem. This has resulted in disengaged individuals with little motivation to improve health.,AI-driven advanced analytics for predictive modeling ,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Post-acute care management,Managing care post-discharge is fragmented with little coordination or data to identify the most appropriate setting of care or providers. There is no continuity of care.,Cloud-based platform for collaboration that provides insight ,guidance for optimal care,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Integrated social and health,Despite increased evidence of the significant impact of social and human services on overall health- the U.S. healthcare system continues to manage health and social needs separately.,Integrated workflow ,collaborative platforms,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Revenue cycle management,Traditional billing solutions are increasingly being viewed unfavorably due to their negative impact on profit margins- likelihood for errors- time requirements- and labor intensiveness. The wide range of mandatory and regulatory changes as well as market forces only add to the challenge- especially for small practices- and generate a need for more automated- intelligent- and effective solutions to streamline billing operations.,EHR integrations,charge capture,registration,clinical documentation,coding modulesBilling rules ,claims processing/submission engines,vendor processing ,clearinghouse interfaces,electronic remittance ,payment posting functionalities,dashboards,reporting,data analytics Cloud,vendor messaging,provider ,patient messaging,databasesCognitive computing ,robotic process automation increasingly to ensure correct coding ,speed up processes
Robotic process automation-based claims processing,Error rates for paid medical claims by commercial health insurers have dropped significantly in recent years to approximately 7%. This still costs the U.S. healthcare industry over $40 billion/year.,Software rules engines,macros,scripts,analytics that can be overlaid on manual processes or on inefficient software workflow applications (These often require reengineering of existing processes. Ultimately,cognitive analytics will be automated.),-,-,-,-,-,-,-,-,-,-,-,-,-,
Readmission avoidance,The lack of post-discharge planning- follow-up care- home monitoring- and communications results in unnecessary readmissions.,Risk assessment tools that cover all aspects of a patient's health ,environment,remote patient monitoring for post-discharge care plan execution,collaboration ,communication tools,integration of health ,community resources,-,-,-,-,-,-,-,-,-,-,-,
"Fraud, waste, and abuse (FWA)","Outright fraud is difficult to prove or quantify and may affect far less than 10% of total U.S. healthcare. However- it is estimated that up to 25% of healthcare costs are affected by the broader category of fraud- waste- and abuse.
As quickly as payers move through legal and educational means to address FWA- bad actors (frequently physicians) adapt their approaches.",Predictive software tools,improved workflow processes,automated outreach to medical providers ,patients/members that can be used to identify schemes,likely sources of waste,or abuse,-,-,-,-,-,-,-,-,-,-,-,-,
Closing gaps in care,Attempting to close gaps in care outside of the clinical setting is fragmented and does not improve compliance.,Integration of data that identifies gaps in care with workflow tools routinely used by clinicians,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Next-generation EHR platforms,The pace of industry change- mandatory requirements- and market pressures combined with factors revolving around EHR design- usability- and user experience have presented a significant challenge for most healthcare providers in the form of much dissatisfaction and frustration with the technology overall. This is compelling vendors to build and deploy more user-friendly and intuitive EHR technologies for better end-user experiences.,EHRs,integrations with EHRs ,portals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Directory accuracy,In this increasingly litigious- regulated- consumer-focused- competitive- and transparency-demanded payer environment- providing inaccurate and inadequate provider data to consumers is no longer acceptable.,Directory search,Provider identity management,Geo-access mapping,Third-party consortiums,Downloadable directories,-,-,-,-,-,-,-,-,-,-,-,-,-,
Concurrent value-based reimbursement,There are independent- uncoordinated payment reimbursement engines executing multiple methodologies in siloed systems.,Prospective reimbursement engines,Retrospective reimbursement engines,Reconciliation workflow,Financial subledgers,Groupers,Contract management software,Rating software,-,-,-,-,-,-,-,-,-,-,-,
Network adequacy,There is increasing pressure to prove provider network adequacy to consumers and regulatory bodies.,Network penetration software,Provider risk analysis analytics,Geo-access mapping,Provider network adequacy analytics,Census/geotract data,-,-,-,-,-,-,-,-,-,-,-,-,-,
Contract management,Text-based documents with unstructured terms and conditions are prevalent.,Network penetration software,Provider risk analysis analytics,Geo-access mapping,Provider network adequacy analytics,Census/geotract data,-,-,-,-,-,-,-,-,-,-,-,-,-,
Smart contracts (blockchain),Smart contracts built using blockchain technology is in the nascent stage with only a few innovative healthcare organizations initiating proof of concept projects.,Distributed ledger technologyPrivate ledgersSmart contracts (which are a combination of blockchain DLT,legal code,programming code),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Smart claims payments (blockchain),Smart claims payments built using blockchain technology is in the nascent stage with only a few innovative healthcare organizations initiating proof of concept projects.,Distributed ledger technologyPrivate ledgersSmart contracts (which are a combination of blockchain DLT,legal code,programming code),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Coordinated consumer transactions,There are fragmented operations- data- and consumer experience.,CRM (sales,service,marketing,health)Member/patient identity managementEnterprise master person indexMaster data managementInteractive voice response,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Continuous segmentation,There is yearly or campaign-based segmentation on administrative data.,Campaign management,Marketing,Population analytics,Big data segmentation,Third-party data sources,-,-,-,-,-,-,-,-,-,-,-,-,-,
Independent product/plan configurators,There are document- and spreadsheet-based- hierarchical- inflexible processes and systems to manage the product life cycle.,Product configuration software,Workflow software,Master data management,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Robotic process automation customer service,Customer service representatives and systems are challenged by unintegrated data and/or poorly presented data about customers/patients and their clinical or financial status and needs.,Robotic process automation (RPA),Decision workflows triggered by robotic scripts,Dynamic reporting between systems across the enterprise,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Open access scheduling and payment,Clinical scheduling needs are unpredictable and consumers increasingly want to be able to directly book and request an appointment as well as make changes using convenient methods and online tools- particularly in outpatient settings. They also would like to handle payment directly.,EHR ,integrations between EHRs ,scheduling tools,if non-tetheredPatient-facing portals,websites,mobile appsCloudIndustry-approved payment mechanisms,-,-,-,-,-,-,-,-,-,-,-,-,
Mobile channel for customers,Many insurance organizations offer mobile applications for quotes- policy adjustments- product marketing- claims first notice of loss (FNOL)- and claims status tracking.The channel is yet to see the success it deserves due to lack of a fully interactive experience. Many apps still operate on static data and menus as well as fail to meet customer expectations on the channel.,Mobile technologies,Cloud,Next-gen security,Biometric customer authentication,Geolocation technologies,Multimedia capabilities Advanced analytics,-,-,-,-,-,-,-,-,-,-,-,-,
Business on the move for sales force,? Influenced by the digital advances in other industries- insurance sales and distribution teams today want to associate with carriers who are easy to do business with. ? The systems and processes of large incumbents often hinder straightthrough processing due to lack of relevant information about customer needs and preferences- integration issues- and paper-based business.,Mobile technologies,Cloud,Next-gen security,Advanced analytics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Virtual and augmented connect,Customers are increasingly looking for new ways to digitally interact with insurance organizations beyond traditional channels. ? They are often frustrated with long waiting times in call centers to find the status of a claim or policy process- can't reach a claims handler or agent out of hours- or can't find answers to unique queries in online FAQs.,Advanced analytics,Integrated,secure,AI-enabled connect (chatbots) through different channels that can identify speech patterns ,interpret verbal ,non-verbal hints to deliver communication via text or voice.  Integration with existing messenger platform ,enhancements to suit needs of specific customer segments. Next-gen security,-,-,-,-,-,-,-,-,-,-,-,
Intelligent customer onboarding,The interface and design experiences with digital natives are influencing insurance customers too. ? They expect a combination of multiple channels and want interactions to be quick- simple- and seamless. ? New- specialized digital players can meet this expectation through agile technology and nimble business models- posing a threat to incumbents.,Advanced analytics,Next-gen security,Biometric customer authentication,Application programming interfaces (APIs) to connect with multiple external data sources (weather,property,etc.),Enterprise omniexperience data architecture,Cognitive technologies,Robotic process automation (RPA),-,-,-,-,-,-,-,-,-,
Insurance for on-demand economies,Traditional insurance products that cover everything- every time don't meet the requirements of certain customer segments (e.g.- millennials). ? These customers are keen to insure specific risks at specific times (i.e.- when they want it ? like a car only when it is being driven- a home only when it is occupied- or travel insurance at the exact point of purchase of an air ticket),Mobile technologies,real-time smartphone-appbased coverage switch on ,switch off,Internet of Things (IoT),Cognitive technologies,inapp chatbots for voice or text chats,Cloud,Advanced analytics,Next-gen security,digital identity verification ,network verification techniques using blockchain,-,-,-,-,-,-,-,
Insurance for sharing economies,"Sharing economy represents sharing of cars- logistics- accommodation- or parking spaces triggered by companies such as Uber and Airbnb and driven by millennials. ? Commercial insurance products are yet to cater fully to the coverage for the ""shared usage"" of assets and leave the hosts with huge coverage gaps.",Mobile technologies,IoT,Cognitive technologies,Cloud,Advanced analytics,Next-gen security,-,-,-,-,-,-,-,-,-,-,-,-,
Insurance for connected ecosystems ? cyber,This has huge market potential owing to the scale and magnitude of cybersecurity breaches. ? Current products are characterized by inadequate coverage- high premiums- too many exclusions- restrictions- and uninsurable risks. ? Factors such as lack of historical data- lack of understanding of qualitative and quantitative nature of the everevolving risk- and uncertainty about the extent of financial impact hinder market expansion.,Big Data,Advanced analytics,Cloud,Cognitive technologies,Next-gen security,Automated underwriting systems,-,-,-,-,-,-,-,-,-,-,-,-,
Insurance for connected ecosystems ? autonomous vehicles,Autonomous vehicles come with the promise of sustained mobility and fewer accidents due to advanced safety features and avoidance of human errors. ? Autonomous vehicles will challenge the relevance of traditional insurance products- and the biggest question for the insurance industry will be the product vs. personal liability issues.,Big Data,Advanced analytics,Cloud,Cognitive technologies,Next-gen security,Collaborative clouds,Automated underwriting systems,-,-,-,-,-,-,-,-,-,-,-,
Contextual customer engagement across policy life cycle,Legacy systems of incumbents do not support the integration of internal and external data to present customer behavior and buying patterns in a way that is actionable for meaningful and relevant engagement. ? Siloed approach restricted to lineof-business- local- or even department level exists that hinder the delivery of consistent marketing messages. ? There is also a lack of customer touch points as many organizations still rely on traditional channels. ? Country-/regionspecific regulations around data and communication also pose challenges,Omni-channel architecture,24 x 7 customer connect,Data lake that supports internal ,external structured as well as unstructured data sources,Single data management architecture that includes data integration,data quality management,master data management,data security,Advanced analytics to drive segmentation,targeted marketing ,social media campaigns,Cognitive technologies,Feedback mechanism to monitor measure marketing performance (e.g.Net Promoter Score or NPS),-,-,-,-,-,
Customer journey mapping,Expectations for speed- convenience- transparency- and personalized engagement are not often met with the current convoluted processes within insurance customer journeys of traditional insurance organizations. ? The current customer journeys need to align with the shifts in customer demographics- behavior- and expectations as well as market dynamics.,Advanced business process management tools,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Usage-based insurance ? vehicles,The product holds great potential- but many insurance organizations consider UBI enabled by IoT as just another product offering to meet customer expectations. ? Initiatives are mostly discrete and tactical ? data is not being analyzed effectively to enable great experiences or generate new revenue streams. ? All customer segments are not convinced about the value they receive in return for the data being shared with the insurance organizations.,IoT,Big Data,Mobile technologies,Cloud,Advanced analytics ,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,-,-,-,
Usage-based insurance ? homes,UBI for homes enabled by IoT has not yet reached the same levels of adoption as UBI for vehicles. ? The initial success of UBI for vehicles is encouraging some organizations to build UBI for smart or connected homes.,IoT,24 x 7 monitoring (using cloud-connected cameras,smoke detectors ,moisture sensors),Big Data,Mobile technologies,Cloud,Advanced analytics,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,
Usage-based insurance ? individuals,A personal insurance model in which the insured gets rewarded for a healthier lifestyle and the insurance organization gets benefits as its customers live longer and healthier is proving to be a win-win for both parties involved based on some market examples. ? There is an increase in the number of consumers who are willing to use wearables and share the results with an insurance organization in return for financial rewards for healthy behavior,IoT,Big Data,Mobile technologies,Social,Cloud,Advanced analytics,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,-,-,
Evidence-based loss prevention ? vehicles,There is a rise in high-frequency and/or highseverity claims due to increased vehicle population. ? Sensor-based technologies are used to collect data for more accurate premium pricing or launch products for sharing economies- but many insurance organizations are yet to extend the use case further to proactively manage risks and prevent losses due to irresponsible driving behavior.,IoT (standalone or embedded sensors),Big Data,Mobile technologies,Cloud,Advanced analytics,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,-,-,-,
Evidence-based loss prevention ? homes,Sensor-based technologies are used to collect data for more accurate premium pricing or launch products for sharing economies- but many insurance organizations are yet to extend the use case further to proactively manage risks and prevent losses due to irresponsible use of homes/rental abodes. ? There is also an opportunity to leverage the technology to expedite the claims processes (e.g.- in catastrophic situations) to avoid further damage.,IoT,Big Data,Mobile technologies,Cloud,Advanced analytics,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,-,-,-,
Evidence-based loss prevention ? businesses,There are a few commercial insurers and reinsurers that support the use of IoT devices and wearables to monitor internal safety hazards- employee errors- and environmental changes in factories and workplaces to prevent accidents and curb fraudulent claims. ? It is anticipated that more insurance organizations will support the model in the coming years for both financial benefits and to improve customer retention and loyalty.,IoT,wearables,Big Data,Mobile technologies,Cloud,Advanced analytics,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,-,-,
Evidence-based loss prevention ? individuals,Some insurers offer loyalty discounts and premium savings based on healthy lifestyles or smart monitors for patients with diabetes or high blood pressure to avoid costly medical and disability claims. ? There is great potential to extend the use cases to niche areas (e.g.- sustainable elderly care through connected ecosystems),IoT,wearables,Big Data,Mobile technologies,Cloud,Advanced analytics,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,-,-,
Concierge digital claims ? vehicles,With connected cars collecting location- driving behavior- and vehicle diagnostics- there is a great opportunity to digitally transform and enhance current concierge services to improve customer experience at a time they need and value the services of the insurance organization the most.,IoT,API architecture,Big Data,Mobile technologies,Cloud,Advanced analytics,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,-,-,
Concierge digital claims ? homes,With connected devices collecting varying data about the property and the location- there is a great opportunity to digitally transform and enhance current concierge services to improve customer experience at a time they need and value the services of the insurance organization the most.,IoT,API architecture,Big Data,Mobile technologies,Cloud,Advanced analytics,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,-,-,
